name,nation,foldered,rank,role,mainArm,main_arm_diameter,purchase_type,is_premium,is_reserve,br_ab,br_rb,br_sb,repair_ab,repair_rb,repair_sb,sl_mod_ab,sl_mod_rb,sl_mod_sb,rp_mod_ab,rp_mod_rb,rp_mod_sb,main_reload_base,main_reload_upgraded,forward_ab,forward_rbsb,reverse_ab,reverse_rbsb,stabilizer,can_float,smoke_grenade,ess,night_vision,revers_gear,rangefinder,dozer,autoloader,era_armor,thermal_vision,laser_rangefinder,hydro_suspension,composite_armor,lwr
LVT(A)(1) (TheRussianBadger),USA,False,1,Light,M6 (37mm),37,Gift,False,False,1,1,1,106,95,111,10,10,20,100,100,100,3.7,2.9,45,40,6,5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
M8 LAC,USA,False,1,Light,M6 (37mm),37,Market,True,False,1,1,1,409,214,144,40,40,40,200,200,200,4.6,3.5,101,91,15,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M5A1,USA,False,2,Light,M6 (37mm),37,Tech Tree,False,False,2.3,2.7,2.7,340,380,477,30,30,30,112,112,112,3.7,2.9,65,58,17,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M24,USA,False,2,Light,M6 (75mm),75,Tech Tree,False,False,3.3,3.7,3.7,594,691,812,40,60,80,124,124,124,8.4,6.5,63,57,26,24,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
M3 Lee,USA,False,2,Medium,M5 (37mm),37,Tech Tree,False,False,2.3,2.7,2.7,417,455,547,30,40,40,112,112,112,3.7,2.9,43,39,6,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4A1,USA,True,2,Medium,M3 (75mm),75,Tech Tree,False,False,3.3,3.3,3.3,553,631,800,30,50,60,118,118,118,6.5,5,43,38,6,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4,USA,True,2,Medium,M3 (75mm),75,Tech Tree,False,False,3.7,3.7,3.7,716,823,1047,40,70,80,124,124,124,6.5,5,43,38,6,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4A2,USA,True,2,Medium,M3 (75mm),75,Tech Tree,False,False,4,4,4,686,812,1049,50,80,90,130,130,130,6.5,5,53,48,7,7,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
M16 MGMC,USA,False,2,SPAA,4x 12.7mm M2HB machine gun,12.7,Tech Tree,False,False,2.7,2.7,2.7,487,385,593,30,40,50,112,112,112,10.4,8,80,73,19,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4A3 (105),USA,False,2,Medium,M4 (105mm),105,Tech Tree,False,False,3,3,3,540,601,736,30,50,60,118,118,118,13,10,47,42,7,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
M10 GMC,USA,False,2,Tank destroyer,M7 (76mm),76,Tech Tree,False,False,3.7,3.3,3.3,675,810,984,50,80,100,124,124,124,7.1,5.5,53,49,6,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stuart VI (5th CAD) (USA),USA,False,2,Light,M6 (37mm),37,Gift,True,False,2.3,2.7,2.7,659,519,492,80,80,80,224,224,224,3.7,2.9,65,58,17,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Grant I (USA),USA,False,2,Medium,M5 (37mm),37,GE,True,False,2.3,2.7,2.7,857,381,354,80,80,80,224,224,224,3.7,2.9,43,39,6,6,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
M4A5,USA,False,2,Medium,6pdr OQF Mk.III (57mm),57,GE,True,False,3.7,3.7,3.7,607,676,1397,100,160,220,260,260,260,5.2,4,45,40,6,6,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
M24 (TL),USA,False,2,Light,M6 (75mm),75,Gift,False,False,3.3,3.7,3.7,734,838,995,50,70,90,130,130,130,8.4,6.5,63,57,26,24,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
M4 (WT Mobile),USA,False,2,Medium,M3 (75mm),75,Gift,False,False,3.7,3.7,3.7,716,823,1047,40,70,80,130,130,130,6.5,5,43,38,6,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LVT(A)(4) (ZIS-2) (USA),USA,False,2,Tank destroyer,ZIS-2 (57mm),57,Market,False,False,2.3,2.3,2.3,412,480,576,30,50,60,112,112,112,8.7,6.7,44,40,6,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
M5A1 TD,USA,False,2,Light,M6 (37mm),37,Gift,False,False,2.3,2.7,2.7,340,380,477,30,30,30,112,112,112,3.7,2.9,65,58,17,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M8A1 GMC,USA,False,2,Light,75mm M3 cannon,75,Market,True,False,2.7,2.7,2.7,240,252,337,60,60,60,224,224,224,8.7,6.7,71,64,19,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T18E2,USA,False,2,Light,M1 (57mm),57,Market,True,False,3,3,3,800,458,1317,100,120,160,248,248,248,5.2,4,89,80,37,33,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
M18 GMC,USA,False,3,Light,76mm M1 cannon,76,Tech Tree,False,False,5.3,5.7,5.7,1281,1637,1946,80,120,160,154,154,154,7.9,6.1,90,81,29,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4A1 (76) W,USA,False,3,Medium,M1 (76mm),76,Tech Tree,False,False,5,5,5,869,1014,1276,60,90,110,136,136,136,7.6,5.9,43,38,6,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4A2 (76) W,USA,True,3,Medium,M1 (76mm),76,Tech Tree,False,False,5.3,5.3,5.3,1273,1496,1916,80,120,140,148,148,148,7.6,5.9,52,46,7,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4A3 (76) W,USA,True,3,Medium,M1 (76mm),76,Tech Tree,False,False,5.3,5.7,5.7,1464,1755,2271,90,140,160,154,154,154,7.6,5.9,47,43,7,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M6A1,USA,True,3,Heavy,M7 (76mm),76,Tech Tree,False,False,4.7,5,5,1373,1507,2101,70,110,130,142,142,142,7.6,5.9,38,36,5,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T1E1,USA,True,3,Heavy,M7 (76mm),76,Tech Tree,False,False,5,5.3,5.3,1533,1695,2342,80,120,140,148,148,148,7.6,5.9,40,38,40,38,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
M4A3E2,USA,False,3,Heavy,M3 (75mm),75,Tech Tree,False,False,5.3,5.7,5.7,2010,2176,3022,90,140,150,154,154,154,6.5,5,38,36,5,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M19A1,USA,False,3,SPAA,2x Dual Automatic Gun M2 (40mm),40,Tech Tree,False,False,4.7,4,4,1326,1006,1493,70,90,130,136,136,136,0.6,0.5,62,57,26,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M42,USA,False,3,SPAA,2x Dual Automatic Gun M2 (40mm),40,Tech Tree,False,False,5,4.3,4.7,1421,1103,1625,80,100,150,142,142,142,0.6,0.5,79,73,21,19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
M36 GMC,USA,True,3,Tank destroyer,90mm M3 cannon,90,Tech Tree,False,False,5.3,5.3,5.3,1452,1702,2379,90,140,170,148,148,148,9.7,7.5,46,42,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M36B2,USA,True,3,Tank destroyer,90mm M3 cannon,90,Tech Tree,False,False,5.7,5.7,5.7,1814,2135,2951,100,150,190,154,154,154,9.7,7.5,44,41,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Calliope,USA,False,3,Medium,M3 (75mm),75,GE,True,False,4.3,4,4,1092,1261,2279,160,260,320,308,308,308,6.5,5,43,38,6,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T14,USA,False,3,Heavy,M3 (75mm),75,GE,True,False,4.7,4.7,4.7,1159,1326,1905,180,260,300,308,308,308,6.5,5,41,38,6,5,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cobra King,USA,False,3,Heavy,M3 (75mm),75,GE,True,False,5.3,5.7,5.7,1595,1768,2443,200,300,340,320,320,320,6.5,5,38,36,5,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T55E1,USA,False,3,Tank destroyer,M7 (76mm),76,Gift,True,False,4.3,4.3,4.3,1035,1249,1692,200,300,380,308,308,308,6.5,5,87,80,58,54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M18 "Black Cat",USA,False,3,Light,76mm M1 cannon,76,GE,True,False,5.3,5.7,5.7,1188,1384,1715,180,260,340,320,320,320,7.9,6.1,90,81,29,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M41A1,USA,False,4,Light,M32 (76mm),76,Tech Tree,False,False,6,6.3,6.3,1725,2111,2748,100,130,160,160,160,160,7.6,5.9,81,73,21,19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
T92,USA,False,4,Light,T185E1 (76mm),76,Tech Tree,False,False,6.7,7,7,2611,3190,4274,110,150,200,178,178,178,6.5,5,63,57,9,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
M4/T26,USA,True,4,Medium,M3 (90mm),90,Tech Tree,False,False,6,6,6,2262,2700,3443,100,150,180,160,160,160,9.7,7.5,47,43,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T25,USA,True,4,Medium,M3 (90mm),90,Tech Tree,False,False,6.3,6.3,6.3,2787,3328,4279,110,160,190,166,166,166,9.7,7.5,56,51,56,51,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
M26,USA,False,4,Medium,M3 (90mm),90,Tech Tree,False,False,6.7,6.7,6.7,3325,3870,4954,120,180,210,172,172,172,9.7,7.5,54,49,18,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M46,USA,False,4,Medium,M3A1 (90mm),90,Tech Tree,False,False,7,7,6.7,3449,3934,5140,120,180,210,178,178,178,9.7,7.5,54,49,22,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4A3E2 (76) W,USA,False,4,Heavy,M1 (76mm),76,Tech Tree,False,False,6.3,6.3,6.3,3028,3258,4397,110,160,180,160,160,160,7.6,5.9,38,36,5,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T26E5,USA,True,4,Heavy,M3 (90mm),90,Tech Tree,False,False,6.7,6.7,6.7,3779,4054,5592,120,170,200,166,166,166,9.7,7.5,43,41,14,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T26E1-1,USA,True,4,Heavy,T15E1 (90mm),90,Tech Tree,False,False,6.7,6.7,6.7,4402,4697,6407,130,180,210,172,172,172,16.2,12.5,43,41,14,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T34,USA,False,4,Heavy,T53 (120mm),120,Tech Tree,False,False,7,6.7,6.7,4759,5073,6923,140,190,220,178,178,178,19.4,14.9,38,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M109A1,USA,False,4,Tank destroyer,155mm M185 cannon,155,Tech Tree,False,False,6.3,6.3,6.3,2557,2909,4019,100,160,210,160,160,160,17.3,13.3,62,57,13,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M56,USA,False,4,Tank destroyer,M54 (90mm),90,Tech Tree,False,False,6,6.7,6.7,2843,3493,4916,110,180,220,166,166,166,7.8,6,49,45,21,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M50,USA,False,4,Tank destroyer,M40A1C (106mm),106,Tech Tree,False,False,6.7,6.7,6.7,3571,4060,5802,120,200,240,172,172,172,16.9,13,53,49,18,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Super Hellcat,USA,False,4,Light,90mm M3 cannon,90,GE,True,False,6,6.3,6.3,2010,2417,3115,240,300,400,356,356,356,9.7,7.5,90,81,29,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T20,USA,False,4,Medium,M1 (76mm),76,GE,True,False,6.3,6.3,6.3,1840,2075,2659,220,320,380,332,332,332,7.6,5.9,63,56,21,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M26 T99,USA,False,4,Medium,M3 (90mm),90,GE,True,False,6.7,6.7,6.7,2510,2957,3847,260,380,440,368,368,368,9.7,7.5,54,49,18,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M26E1,USA,False,4,Medium,T54 (90mm),90,Gift,True,False,6.7,6.7,6.3,2510,2942,3847,260,380,440,368,368,368,14.4,11.1,54,49,18,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M46 "Tiger",USA,False,4,Medium,M3A1 (90mm),90,GE,True,False,7,7,6.7,2736,3173,3997,260,400,440,380,380,380,9.7,7.5,54,49,22,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T28,USA,False,4,Tank destroyer,T5E1 (105mm),105,GE,True,False,6.7,6.3,6.7,2794,3069,4234,260,420,500,368,368,368,20,15.4,14,13,5,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M551(76),USA,False,4,Light,M32 (76mm),76,Gift,True,False,6.3,6.7,6.7,1848,2121,2914,220,300,380,344,344,344,7.6,5.9,77,70,17,15,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
T30,USA,False,4,Heavy,T7 (155mm),155,Market,True,False,6.7,6.7,6.7,3725,3858,5280,300,420,480,392,392,392,38.9,29.9,38,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M6A2E1,USA,False,4,Heavy,T5E1 (105mm),105,Market,True,False,6.7,6.7,6.7,3725,3858,5280,300,420,480,392,392,392,20,15.4,31,29,31,29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
T29,USA,False,4,Heavy,T5E2 (105mm),105,Pack,True,False,7,7,6.7,3408,3524,4820,300,400,460,380,380,380,16.2,12.5,38,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M47,USA,True,5,Medium,M36 (90mm),90,Tech Tree,False,False,7.3,7.3,7.3,3634,4105,5781,130,190,210,184,184,184,9.7,7.5,54,49,22,20,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
M48A1,USA,True,5,Medium,M41 (90mm),90,Tech Tree,False,False,7.7,7.7,7.7,3878,4381,6174,130,200,220,190,190,190,8.7,6.7,50,45,10,9,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
M60,USA,False,5,Medium,M68 (105mm),105,Tech Tree,False,False,8,8,8,4097,4565,6471,140,200,240,202,202,202,8.7,6.7,54,49,9,8,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
T32,USA,True,5,Heavy,T15E2 (90mm),90,Tech Tree,False,False,7.3,7.3,7.3,5157,5508,7873,140,200,220,184,184,184,18.8,14.5,38,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T32E1,USA,True,5,Heavy,T15E2 (90mm),90,Tech Tree,False,False,7.7,7.7,7.7,5561,5911,9417,140,200,230,190,190,190,18.8,14.5,38,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M103,USA,False,5,Heavy,M58 (120mm),120,Tech Tree,False,False,7.7,7.7,7.7,5226,5534,8814,150,200,240,196,196,196,19.4,14.9,36,34,9,9,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
M163,USA,False,5,SPAA,20mm M168 cannon,20,Tech Tree,False,False,7.7,7.7,7.7,3973,3605,4839,140,180,240,190,190,190,26,20,70,65,17,15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
T95,USA,False,5,Tank destroyer,T5E1 (105mm),105,Tech Tree,False,False,7.3,7,7,4506,5018,7427,140,210,240,184,184,184,20,15.4,14,13,5,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M728 CEV,USA,False,5,Medium,165mm M135 cannon,165,Gift,True,False,8,7,7,2851,3232,4306,260,400,440,392,392,392,27.7,21.3,54,49,9,8,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
T54E2,USA,False,5,Medium,105mm T140E3 cannon,105,GE,True,False,7.7,7.7,7.7,2897,3301,4496,280,400,480,404,404,404,13,10,48,44,10,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
T54E1,USA,False,5,Medium,T140E2 (105mm),105,GE,True,False,8,8,8,3162,3446,4734,280,400,500,416,416,416,5,5,48,44,10,9,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
T114,USA,False,5,Light,M40A1C (106mm),106,GE,True,False,7.3,7.7,7.7,2157,2661,3520,220,320,400,380,380,380,3.2,2.5,64,58,15,13,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Magach 3 (ERA) (USA),USA,False,5,Medium,M68 (105mm),105,Gift,True,False,8,8,8,3150,3584,4896,280,420,480,416,416,416,8.7,6.7,54,49,9,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
M551,USA,False,6,Light,M81 (152mm),152,Tech Tree,False,False,8,8.3,8.3,2992,3437,4196,120,160,200,208,208,208,15.6,12,77,70,17,15,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
M3 Bradley,USA,False,6,Light,M242 (25mm),25,Tech Tree,False,False,8.3,8.3,8.3,2917,3297,4024,120,170,210,214,214,214,0.3,0.2,74,66,16,14,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False
M60A1 (AOS),USA,True,6,Medium,M68 (105mm),105,Tech Tree,False,False,8.3,8.3,8.3,4384,4850,6651,140,200,250,208,208,208,8.7,6.7,54,49,9,8,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
M60A1 RISE (P),USA,True,6,Medium,105mm M68 cannon,105,Tech Tree,False,False,8.3,8.7,8.7,3921,4006,4959,140,200,230,214,214,214,8.7,6.7,54,49,9,8,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False
M60A3 TTS,USA,False,6,Medium,M68 (105mm),105,Tech Tree,False,False,9,9,9,3948,3952,5050,150,200,230,220,220,220,8.7,6.7,54,49,9,8,True,False,True,True,True,False,False,False,False,True,True,True,False,False,False
T95E1,USA,False,6,Medium,T208E9 (90mm),90,Tech Tree,False,False,8.3,8.3,8.3,4477,4952,7075,140,200,240,208,208,208,11.1,8.5,63,57,14,13,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
XM803,USA,True,6,Medium,XM150E5 (152mm),152,Tech Tree,False,False,8.7,9,9,4185,4189,5353,150,200,230,220,220,220,7.5,7.5,72,64,33,30,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False
MBT-70,USA,True,6,Medium,XM150E5 (152mm),152,Tech Tree,False,False,9,9.3,9.3,4185,4161,5398,150,200,240,226,226,226,7.5,7.5,72,65,72,65,True,False,True,False,True,True,False,False,True,False,False,True,True,False,False
M247,USA,False,6,SPAA,2x 40mm M266 automatic cannon,40,Tech Tree,False,False,9,9,9,5165,4339,5114,160,210,240,220,220,220,6.5,5,53,49,9,8,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
Imp.Chaparral,USA,False,6,SPAA,AAM MIM-72,127,Tech Tree,False,False,9.3,9.3,9.3,5163,4508,4804,160,210,250,226,226,226,19.5,15,67,62,16,15,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
M60A2,USA,False,6,Medium,M162 (152mm),152,Tech Tree,False,False,8.3,8.3,8.3,4150,4590,6295,140,200,250,208,208,208,15.6,12,54,49,9,8,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
M901,USA,False,6,Tank destroyer,BGM-71C I-TOW ATGM,152,Squadron,False,False,8.3,8.3,8.3,5114,5152,6436,160,210,250,214,214,214,13,10,70,65,17,15,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
XM1 (Chrysler),USA,False,6,Medium,105mm M68 cannon,105,Gift,True,False,9,9,9,3026,3103,3797,280,380,440,428,428,428,8.7,6.7,84,76,46,42,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False
XM1 (GM),USA,False,6,Medium,105mm M68 cannon,105,Pack,True,False,9.3,9.3,9.3,3029,2919,3813,300,380,440,428,428,428,8.7,6.7,92,83,47,43,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False
Merkava Mk.1 (USA),USA,False,6,Medium,Sharir (105mm),105,Market,False,False,9,9,9,3710,3928,4863,140,190,230,208,208,208,8.7,6.7,61,55,12,11,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False
Merkava Mk.2B (USA),USA,False,6,Medium,Sharir (105mm),105,Market,False,False,9.3,9.3,9.3,3869,3952,5050,150,200,230,220,220,220,8.7,6.7,60,54,26,24,True,False,True,True,True,False,False,False,False,False,True,True,False,False,True
XM8,USA,False,6,Light,105mm XM35 cannon,105,Market,False,False,9.3,9.7,9.7,3118,3051,3908,130,170,220,226,226,226,5,5,81,73,17,15,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False
M3A3 Bradley,USA,False,7,Light,M242 (25mm),25,Tech Tree,False,False,10,10,10,3254,3116,4152,140,170,220,232,232,232,0.3,0.2,68,62,16,14,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False
HSTV-L,USA,False,7,Light,XM274 (75mm),75,Tech Tree,False,False,11.3,11.3,11.3,3509,3550,3741,140,160,200,244,244,244,1.5,1.5,93,84,28,25,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False
120S,USA,False,7,Medium,M256 (120mm),120,Tech Tree,False,False,10,10,10,4444,4306,5033,150,200,250,232,232,232,6.5,5,54,49,9,8,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False
M1A1 HC,USA,False,7,Medium,M256 (120mm),120,Tech Tree,False,False,11.3,11.3,11.3,4131,4037,5107,150,190,210,244,244,244,6.5,5,76,69,43,39,True,False,True,True,True,False,False,True,False,False,True,True,False,True,False
M1 Abrams,USA,False,7,Medium,M68A1 (105mm),105,Tech Tree,False,False,10.3,10.3,10.3,4216,4084,4767,150,190,240,232,232,232,6.5,5,80,72,43,39,True,False,True,True,True,False,False,False,False,False,True,True,False,True,False
M1A1,USA,True,7,Medium,M256 (120mm),120,Tech Tree,False,False,11,11,11,4216,4147,4878,150,200,230,238,238,238,6.5,5,76,69,43,39,True,False,True,True,True,False,False,False,False,False,True,True,False,True,False
IPM1,USA,True,7,Medium,105mm M68A1 cannon,105,Tech Tree,False,False,11,11,11,4302,4229,4958,150,200,240,244,244,244,6.5,5,76,69,43,39,True,False,True,True,True,False,False,False,False,False,True,True,False,True,False
LAV-AD,USA,False,7,SPAA,25mm GAU-12U cannon,25,Tech Tree,False,False,9.7,10,10,4524,4130,4556,160,190,240,232,232,232,26,20,109,100,20,18,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False
XM975,USA,False,7,SPAA,Roland SAM,165,Tech Tree,False,False,10,10.3,10.3,5039,5099,5840,160,200,240,238,238,238,5,5,62,57,13,12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
M1128,USA,False,7,Light,M68A1E8 (105mm),105,Tech Tree,False,False,9.3,10,10,2981,2895,3886,140,170,220,232,232,232,7.5,7.5,108,97,14,13,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False
M1128 Wolfpack,USA,False,7,Light,M68A1E8 (105mm),105,GE,True,False,9.3,10,10,2910,2762,3651,280,340,440,464,464,464,7.5,7.5,108,97,14,13,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False
M1 KVT,USA,False,7,Medium,M68A1 (105mm),105,Pack,True,False,10.3,10.3,10.3,3381,3259,3789,300,380,480,464,464,464,6.5,5,80,72,43,39,True,False,True,True,True,False,False,False,False,False,True,True,False,True,False
M1A1 (YouTube Cup),USA,False,7,Medium,M256 (120mm),120,Gift,False,False,11,11,11,4216,4147,4878,150,200,230,232,232,232,6.5,5,76,69,43,39,True,False,True,True,True,False,False,False,False,False,True,True,False,True,False
M1A1 AIM,USA,False,7,Medium,M256 (120mm),120,Squadron,False,False,11.3,11.3,11.3,4343,4245,5369,150,190,210,244,244,244,6.5,5,76,69,43,39,True,False,True,True,True,False,False,False,False,False,True,True,False,True,False
